Fecha_Publicacion,total_count,economía_count,empleo_count,salud_count,tecnología_count,empleo_sum,economía_sum,tecnología_sum,salud_sum,publica
1995-01-02,2,0.0,2.0,0.0,0.0,1.997897982597351,5.418213186203502e-05,0.05614590039658647,3.0696814974362496e-05,2
1995-01-03,1,0.0,1.0,0.0,0.0,0.9715206623077391,2.481236697349232e-05,2.348033740418032e-05,0.0080558527261018,1
1995-01-04,4,0.0,4.0,0.0,0.0,2.857652558479458,0.0016166445639099424,0.00017037984252965543,8.257665922428714e-05,4
1995-01-05,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-06,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-07,3,0.0,3.0,0.0,0.0,1.1301295772282174,0.000976717281446296,0.00010094885510625318,5.4975744205876254e-05,3
1995-01-08,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-09,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-10,1,0.0,0.0,0.0,1.0,1.5942305253702216e-05,1.572488690726459e-05,0.0002882810367736,4.360629100119695e-05,1
1995-01-11,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-12,2,0.0,0.0,0.0,2.0,0.00015339166202465486,4.0601295040687546e-05,0.0010608576703815,9.75458933680784e-05,2
1995-01-13,1,0.0,1.0,0.0,0.0,0.0011841886444017,3.120464680250734e-05,2.439346098981332e-05,2.002572546189185e-05,1
1995-01-14,1,0.0,1.0,0.0,0.0,0.8661566972732544,2.971220419567544e-05,3.173126970068552e-05,1.804991006792989e-05,1
1995-01-15,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-16,4,0.0,4.0,0.0,0.0,3.9751564860343933,0.0019001354521605807,0.00015613367031619418,7.503590859414544e-05,4
1995-01-17,2,0.0,2.0,0.0,0.0,1.990497648715973,5.0513890528236516e-05,4.814981184608769e-05,3.042548541998258e-05,2
1995-01-18,45,1.0,21.0,2.0,21.0,14.372186050481103,1.0108473816680996,14.932829859950289,0.15548253793713215,45
1995-01-19,4,0.0,4.0,0.0,0.0,2.938736453652382,0.00019886859081452712,0.0001253127738891635,8.417042045039125e-05,4
1995-01-20,13,0.0,10.0,0.0,3.0,8.849112254829379,0.9906565545261399,0.9508401196017076,0.00034128139486702284,13
1995-01-21,3,0.0,2.0,0.0,1.0,1.111273081973195,0.0011027211639884297,0.9777660301915603,5.425524796009995e-05,3
1995-01-22,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-23,6,0.0,1.0,0.0,5.0,0.04428941779042346,0.0003670664518722216,2.0341794190462674,8.18878997961292e-05,6
1995-01-24,4,0.0,3.0,0.0,1.0,1.747852496569976,0.0001865033245848857,0.9920961011666803,0.00013754003521171398,4
1995-01-25,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-26,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-27,5,0.0,5.0,0.0,0.0,4.859251916408539,0.00653311997848503,0.11824050029463243,0.00022869857730252905,5
1995-01-28,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-29,0,,,,,0.0,0.0,0.0,0.0,0
1995-01-30,3,0.0,2.0,0.0,1.0,1.984496966819279,6.985722757235635e-05,0.0017745562909112626,0.00042033354293376945,3
1995-01-31,4,0.0,3.0,0.0,1.0,2.106221104342694,0.00013149063852324616,9.799568033486139e-05,6.779950126656331e-05,3
1995-02-01,3,0.0,2.0,0.0,1.0,1.9945152273139684,5.690581019734964e-05,0.4084008644276763,4.3216790800215676e-05,3
1995-02-02,8,0.0,8.0,0.0,0.0,5.904958760831505,0.00017437855422031134,0.6440441830436611,0.00012778313157468801,8
1995-02-03,11,1.0,10.0,0.0,0.0,9.589096922427416,1.0151251762181344,1.1183045626403325,0.0027309514589432204,11
1995-02-04,0,,,,,0.0,0.0,0.0,0.0,0
