Fecha_Publicacion,total_count,economía_count,empleo_count,salud_count,tecnología_count,empleo_sum,economía_sum,tecnología_sum,salud_sum,publica
1995-12-31,1058,40,832,15,171,614.7025105887751,37.09537194525364,83.24268626600313,14.635309537594363,1053
1996-12-31,1248,50,950,24,224,703.3250129681064,40.39295763837161,134.12142624886107,15.64920164978775,1236
1997-12-31,1237,42,983,18,194,699.937425898921,33.881522408597434,117.15813851768414,7.368412595534206,1221
1998-12-31,1296,56,992,16,232,738.80203537544,34.84979840372033,152.8046920593624,6.409144496534277,1262
1999-12-31,1574,59,1191,45,279,806.3545689785233,30.8924684516205,182.75867085145362,8.175997401113811,1534
2000-12-31,1762,93,1352,68,249,896.7798094949712,38.58168780930917,137.07285775999932,11.307444541255782,1746
2001-12-31,2015,101,1608,80,226,1161.3775100656167,52.57600022019686,132.95992047618162,15.249088704887972,1958
2002-12-31,2177,74,1729,112,262,1323.8898741811518,70.16675561310056,167.39880312174134,38.42563792982217,2139
2003-12-31,1538,93,1116,99,230,811.2475032988932,62.43500783745366,130.91262890655977,3.4860386873615337,1463
2004-12-31,1237,77,789,91,280,414.3434832381781,17.663958709275892,136.70626978569726,10.69248963444442,1190
2005-12-31,1007,69,589,90,259,267.91547425839417,10.243303355103299,131.15538000652396,14.466054647508821,972
2006-12-31,1358,75,723,150,410,347.91338409181026,23.18595133373127,202.126564307493,16.658730831449237,1128
2007-12-31,1568,66,900,220,382,492.8165704956554,28.26019403636109,178.01687845104513,39.62931324499276,1306
2008-12-31,1310,67,857,122,264,530.4825467980954,23.606797859969436,143.52785331787615,20.860776301345133,1253
2009-12-31,1423,96,899,139,289,499.9214559724032,40.99955882218818,132.84546440111168,21.977084405331873,1304
2010-12-31,1470,109,772,160,429,414.3180274641799,37.84541851412268,177.65017746085866,29.69786474826468,1362
2011-12-31,1373,73,731,162,407,399.70145673892233,30.19420183479996,191.8413835483661,24.068505313948652,1212
2012-12-31,1118,107,577,107,327,295.3659362497401,35.80077822202747,150.6269560011569,16.836075648339822,953
2013-12-31,1051,125,413,125,388,122.26867942692022,42.105837029792376,159.62735726458686,24.72089358032644,862
2014-12-31,1094,139,419,152,384,117.94058940998546,40.49891291257972,164.78634920308104,22.702268665813783,958
2015-12-31,1047,127,479,127,314,166.56444560505403,42.51098046180595,179.79843909302872,30.50009440827761,913
2016-12-31,1144,103,608,125,308,246.39651864147797,35.54301988339465,176.9797815345928,30.411348968659688,995
2017-12-31,1309,152,737,110,310,370.85509099491446,40.91086046424515,173.6064558572889,31.61401000055229,1211
2018-12-31,1475,144,831,166,334,373.29503074200966,54.29351520365707,144.89276670443633,24.7650206121425,1317
2019-12-31,1441,160,818,154,309,393.51973064249887,50.8319907784662,130.804217494835,18.613450976486995,1232
2020-12-31,1180,151,635,120,274,301.5108361745861,43.67644519489112,108.22069156765791,15.27639172521412,1031
2021-12-31,1464,172,793,166,333,383.4776780621396,43.53393348391182,124.32467307019213,21.79472422077287,1207
2022-12-31,1345,106,730,132,377,354.80038830369904,30.975185289215,133.81805258703295,26.592200491464602,1108
2023-12-31,1178,113,688,121,256,305.9645496466692,34.32037688698255,97.0639156168936,21.93896667463195,931
2024-12-31,76,8,42,5,21,13.964431213404167,0.9642602114836335,3.0069477937022375,0.12888265064339052,48
